property_id,description,room_type,price_tier
32010533,Andrew’s Bushwick Den,Private room,0
28631715,Williamsburg Home with a View,Entire home/apt,2
27079267,Bright room on Top Floor,Private room,0
9115832,Lge bedroom (2 pers) in Bushwick,Private room,0
32884505,"Cozy, spacious room in Bed-Stuy",Private room,0
32477522,Brooklyn Hibiscus,Private room,0
4173751,Lovely Apartment in Harlem West,Entire home/apt,1
26374486,East Harlem Entire 1BR apt,Entire home/apt,1
19622976,Scenic Brooklyn townhouse.,Private room,1
28985543,Modern Sunny 3bdrm Apt,Entire home/apt,0
20960203,The Blue House in Ft Greene,Entire home/apt,2
4901269,Brooklyn Heights  ,Entire home/apt,2
30297591,Cosy sun filled bedroom with a private bathroom,Private room,1
18288660,Comfortable  Private Room,Private room,0
30393583,"Bespoke Central Chelsea 1BR w/ Gym, Doorman by Blueground",Entire home/apt,3
30856584,"Double Room in Upper East Side, near Central Park",Private room,1
29956272,"Charming and quiet bedroom in Greenpoint, Brooklyn",Private room,1
8551866,The Epic: Right by MSG,Entire home/apt,3
14220943,Comfortable oasis in the heart of Brooklyn,Entire home/apt,0
16394824,Apartment in Soho on Edge of West Village,Entire home/apt,2
31946864,Sweet  Private Room in the heart of Manhattan NYC,Private room,1
6114353,"Ideal ""Hotel Style"" Bedroom in LES",Private room,1
22192877,Upper West Side Home for the Holidays,Entire home/apt,3
34320892,Splendid Upper E. Side LOFT Central Park 4BEDs/2BA,Entire home/apt,3
23905099,The Most Delicious Airbnb Ever,Private room,1
5913433,Spacious apartment in Greenpoint,Entire home/apt,2
22672271,A Taste of Historic Bedstuy - 20 mins to City!,Private room,0
23919286,Comfortable and close to everything!,Entire home/apt,2
21849509,Private Bedroom in Modern CondoTriplex,Private room,1
5611893,Clean BD: Heart of the East Village,Private room,1
9232861,Midtown East Modern Alcove Studio 5,Entire home/apt,2
13515865,"Cozy room in Greenpoint, Brooklyn",Private room,0
17211583,Minimalist Hideaway In The Heart of Bushwick,Private room,0
22318150,Large Loft Apartment - Private Terrace and Rooftop,Entire home/apt,1
3191450,Cozy Bedroom by Prospect Park BKLYN,Private room,0
34644152,Home sweet Home,Private room,0
4423782,Large studio in trendy Harlem,Entire home/apt,2
36302523,(2RW) Chic Chelsea Studio Just for You,Entire home/apt,2
9998296,Beautiful Modern Large 1 Bedroom,Entire home/apt,2
16259787,Private and comfortable room in Upper West Side,Private room,0
21390016,Spacious 1 Bed PENTHOUSE Apt w/ Incredible VIEWS,Entire home/apt,1
25371790,Huge Artist Loft Space - Red Hook,Entire home/apt,2
20803231,Minimal Light-filled Home Near Prospect Park,Entire home/apt,2
35791289,Renta de Habitación a una cuadra de Central Park,Private room,0
21444621,Studio Apartment in Williamsburg,Entire home/apt,2
32678725,Enjoy the Times Square experience with the family!,Private room,2
35616470,"Great place, safety lovely convenient location",Private room,1
34470953,Chelsea Pines Inn - Hide Away Suite,Private room,3
9090351,"Huge TriBeCa Loft, Shared Space 1Br",Private room,1
30769510,Modern Luxury 2bedroom in ideal Brooklyn location,Entire home/apt,2
17774731,Beautiful private studio near central park,Entire home/apt,2
11457577,Private Room Near  Times Square!,Private room,2
24606641,Classy Antique Private Bedroom 20-minutes to Ferry,Private room,1
4932714,1 bd Artist Retreat in Brooklyn,Private room,0
12630799,Cozy Sunny room,Private room,0
13432015,"Stunning 1 Bedroom Apt. in  NYC, w/d in the unit!",Entire home/apt,2
30205007,Quaint 1 bedroom tenement apartment in E.Village,Entire home/apt,1
21723666,Private cozy room in E. Flatbush,Private room,1
15990199,Bright & Spacious 1br in the Heart of UWS,Entire home/apt,2
14058251,Spacious room in Prospect Park,Private room,1
19057479,COZY 2BR IN MANHATTAN,Entire home/apt,2
25995062,Private room with balcony with ROOFTOP terrace,Private room,1
11435936,Huge 1bd Doorman GYM Roof 5224,Entire home/apt,2
524111,"Convenient East Village Studio,",Entire home/apt,2
25278771,Homey Gowanus retreat for artists and dog lovers,Private room,1
28688612,Upper west side room,Private room,2
21672349,A Bright Brooklyn Apartment With A Private Balcony,Entire home/apt,1
30399408,Cozy Studio in Upper East Side,Entire home/apt,1
23416448,Private room with private bathroom in Brooklyn,Private room,1
8485571,Furnished Apt. in Upper East Side,Entire home/apt,2
31428772,Private Studio 25 Minutes from Midtown,Private room,1
23714854,Gorgeous Room in Downtown Designer Apartment,Private room,2
32548384,Anny's Place,Entire home/apt,0
36172164,Sleeping Easy on the East Side! 1 Bed/1 Bath,Entire home/apt,2
7129972,"Beautiful, modern SoHo/TriBeCa apt",Entire home/apt,2
5276602,Fully Furnished Brownstone Bedroom,Private room,0
36485057,Affordable room in Bushwick/East Williamsburg,Private room,0
35935104,Cozy Central Park West Residence,Entire home/apt,2
7307468,Large Room in Brooklyn w/ Office,Private room,0
12805625,"Sunny, modern apartment in Lower East Side",Private room,1
23106220,1min from the station K size bed 20min toManhattan,Private room,1
15888448,"BKlyn:Artsy, old fashioned at affordable price !",Entire home/apt,0
25465008,Shared Apartment by Times Square Manhattan,Shared room,0
21628066,Cozy & Inspiring Experience,Shared room,0
17209680,"Sunny, quiet and oh-so-central East Village nest.",Entire home/apt,2
12796750,Large one bedroom apt in Greenpoint,Entire home/apt,2
17268111,Lighted Luxury Studio!,Entire home/apt,0
34836661,Become a New Yorker in Bushwick!,Private room,1
31541668,Contemporary Bedroom in Brooklyn,Private room,1
28608920,Chic modern studio,Entire home/apt,2
18870342,"Spacious and Beautiful 1 Bedroom Astoria, New York",Entire home/apt,1
7827616,Private Room in Cozy NYC Apartment,Private room,0
29630879,Heart of Astoria- Extremely close to the CITY,Entire home/apt,2
20558461,"Big Private Room in shared apt in Rego Park, NY",Private room,0
31511141,GEM AT THE HEART OF NOLITA MOTT& PRINCE ST.,Entire home/apt,2
841484,cozy charming apt - Lower East Side,Entire home/apt,2
34933929,Sonder | 116 John | Cozy Studio + Rooftop,Entire home/apt,2
12251481,"Large Room in Apt w/ Library, Priv Entrance",Private room,0
21812980,New Brooklyn apartment with a view,Private room,1
16068953,Awesome room in Brooklyn!!,Private room,0
13237057,City room 2 min walk from train (4),Private room,0
33155912,"Brooklyn Heights Contemporary Gem, 3 Bed, 2 Bath",Entire home/apt,3
2551532,Charm & Beauty close to Manhattan,Entire home/apt,2
